AAA,76.92,43.25,2005,2008,Alma Ata 
AAE,38.77,9.03,1998,2009,Addis Ababa 
ABG,72.87,18.62,1996,2008,Alibag 
ABK,18.82,68.35,1981,2009,Abisko 
ADL,138.65,-34.67,1997,2003,Adelaide 
AIA,295.74,-65.25,1997,2009,Faraday Islands 
ALE,297.50,82.50,1992,2004,Alert 
AMD,61.40,69.50,1997,2007,Amderma 
AMK,322.37,65.60,1996,2006,Tasiilaq 
AMS,77.57,-37.80,1981,2008,Martin de Vivias 
AMU,210.10,61.20,2007,2008,Anchorage 
AND,16.03,69.30,1996,2003,Andenes 
ANT,289.76,-23.39,2003,2003,Antofagasta 
API,188.22,-13.80,1992,2008,Apia 
APL,283.12,39.17,1999,2001,Applied Physics Lab 
AQU,13.32,42.38,1992,2008,LAquila 
ARC,214.43,68.13,1992,2007,Arctic Village 
ASC,345.62,-7.95,1994,2009,Ascension Island 
ASP,133.88,-23.77,1993,2009,Alice Springs 
ATU,306.43,67.93,1997,2006,Attu 
B02,294.00,-66.03,2002,2002,m66-294 
B03,291.88,-67.57,2003,2008,m67-292 
B04,41.08,-68.58,2003,2003,m68-041 
B05,41.32,-69.29,2003,2003,m69-041 
B06,39.40,-69.67,2003,2003,m70-039 
B07,44.28,-70.70,2005,2007,m70-044 
B09,42.99,-74.01,2005,2007,m74-043 
B10,39.71,-77.32,2005,2005,m77-040 
B11,336.58,-77.51,2002,2007,m78-337 
B12,335.88,-79.08,2002,2008,m79-336 
B13,77.00,-80.00,2008,2008,m80-077 
B14,337.74,-80.89,2002,2007,m81-338 
B15,2.97,-81.49,2002,2008,m82-003 
B16,347.06,-82.78,2005,2008,m83-347 
B17,347.76,-82.90,2002,2004,m83-348 
B18,336.14,-84.35,2002,2007,m84-336 
B19,2.06,-85.36,2003,2007,m85-002 
B20,95.98,-85.36,2002,2007,m85-096 
B21,28.41,-87.00,2002,2007,m87-028 
B22,68.17,-86.51,2002,2008,m87-068 
B23,316.13,-88.03,2003,2007,m88-316 
BDV,14.02,49.07,1994,2009,Budkov 
BEL,20.80,51.83,1984,2009,Belsk 
BET,208.32,66.90,2001,2008,Bettles 
BFE,11.67,55.62,1982,2008,Brorfelde 
BFO,8.33,48.33,2006,2008,Black Forest 
BGY,35.09,31.72,2004,2009,Bar Gyora 
BIK,136.05,-1.08,1997,2004,Biak 
BJN,19.20,74.50,1987,2006,Bear Island 
BLC,263.97,64.33,1980,2009,Baker Lake 
BMT,116.20,40.30,1996,2008,Beijing 
BNG,18.57,4.33,1990,2006,Bangui 
BOR,38.33,58.03,2000,2002,Borok 
BOU,254.77,40.13,1980,2009,Boulder 
BOX,38.97,58.03,2004,2009,Barok 
BRW,203.25,71.30,1980,2009,Barrow 
BSL,270.37,30.35,1986,2008,Bay St Louis 
BSV,139.21,-25.54,1997,1997,Birdsville 
CBB,255.00,69.10,1980,2009,Cambridge Bay 
CBI,142.30,27.15,1991,2005,Chichijima 
CCS,104.28,77.72,1997,2006,Chelyuskin 
CDC,283.40,64.20,1997,2010,Cape Dorset 
CER,289.40,-33.45,2003,2003,Los Cerrillos 
CHC,276.80,64.10,1996,2002,Coral Harbour 
CHD,147.89,70.62,1996,2007,Chokurdakh 
CKA,73.60,68.50,1996,1997,Cape Kamenniy 
CLF,2.27,48.02,1981,2009,Chambon la foret 
CLK,285.00,44.70,1999,2003,Clarkson 
CMO,212.14,64.87,1980,2010,College 
CNB,149.36,-35.32,1991,2009,Canberra 
CNL,248.75,65.75,1996,2002,Contwoyto Lake 
CPS,180.55,68.88,1996,1998,Cape Schmidt 
CRK,357.36,57.09,2002,2002,Crooktree 
CSY,110.53,-66.28,1989,2005,Casey 
CTA,146.30,-20.10,1993,2009,Charters Towers 
CY0,291.40,70.50,1996,2002,Clyde River 
CZT,51.87,-46.43,1980,2008,Port Alfred 
DAL,151.20,-27.18,1997,1997,Dalby 
DAW,220.89,64.05,1996,2002,Dawson 
DIK,80.57,73.55,1996,2005,Dixon 
DLR,259.08,29.49,1983,2007,Del Rio 
DMH,341.37,76.77,1996,2006,Danmarkshavn 
DNB,339.78,74.30,1996,2006,Daneborg 
DOB,9.11,62.07,1999,2007,Dombas 
DOU,4.60,50.10,1995,2009,Dourbes 
DRV,140.01,-66.67,1980,2008,Dumont Durville 
DRW,130.90,-12.40,1997,2007,Darwin 
DSO,278.60,36.25,2004,2004,Darsky 
DVS,77.97,-68.58,1990,2000,Davis 
EAG,218.80,64.78,2000,2008,Eagle 
EBR,0.49,40.82,2002,2008,Ebro 
EDM,246.70,53.30,2006,2006,Edmonton 
EKP,265.95,61.11,1996,2002,Eskimo Point 
ELT,34.95,29.67,2003,2009,Eilat 
ENP,289.10,-53.20,2002,2002,Punta Arenas 
ESA,141.36,39.24,2005,2008,Esashi 
ESK,356.80,55.32,1983,2009,Eskdalemuir 
EWA,202.00,-21.32,1996,2008,Ewa Beach 
EYR,172.40,-43.40,1991,2009,Eyrewell 
FAR,352.98,62.05,1998,2002,Faroes 
FCC,265.92,58.76,1980,2009,Fort Churchill 
FHB,310.32,62.00,1996,2005,Paamiut 
FIT,279.05,28.07,2001,2003,Bullcreek 
FMC,248.79,56.66,1996,2002,Fort McMurray 
FRD,282.63,38.20,1984,2009,Fredericksburg 
FRN,240.30,37.10,1983,2008,Fresno 
FSP,238.77,61.76,1996,2010,Fort Simpson 
FUR,11.28,48.17,1990,2008,Furstenfeldbruk 
FYU,214.70,66.57,2001,2010,Fort Yukon 
GAK,214.70,62.30,1999,2010,Gakona 
GCK,20.77,44.63,2005,2008,Grocka 
GDH,306.47,69.25,1980,2009,Godhavn 
GHB,308.27,64.17,1997,2006,Nuuk 
GHC,264.10,68.60,1996,2002,Gjoa Haven 
GIM,265.36,56.38,1996,2010,Gillam 
GLN,262.88,49.65,1982,1995,Glenlea 
GML,356.32,57.16,1996,2000,Gleenmore Lodge 
GNA,116.00,-31.80,1994,2009,Gnangara 
GUA,144.87,13.59,1983,2009,Guam 
GUI,343.57,28.32,1997,2008,Guimar 
GZH,113.34,23.09,2003,2008,Guangzhou 
HAD,355.52,50.98,1983,2009,Hartland 
HAN,26.65,62.30,1996,2003,Hankasalmi 
HBK,27.71,-25.88,1980,2009,Hartebeesthoek 
HER,19.23,-34.43,1980,2009,Hermanus 
HIS,58.05,80.62,1997,1998,Heiss Island 
HLL,339.44,63.77,1999,2002,Hella 
HLM,210.13,61.24,2006,2008,HLMS 
HLP,18.82,54.61,1995,2009,Hel 
HOM,209.53,59.70,2007,2008,Homer 
HON,202.00,21.32,1984,2009,Honolulu 
HOP,25.01,76.51,1996,2002,Hopen Island 
HRB,18.19,47.86,1997,2009,Hurbanovo 
HRN,15.60,77.00,1993,2009,Hornsund 
HTY,139.80,33.12,1986,2005,Hatizyo 
HUA,284.67,-12.05,1998,2008,Huancayo 
IGC,278.20,69.30,1996,2002,Igloolik 
INK,226.70,68.25,2007,2010,Inuvik 
IQA,291.48,63.75,1995,2009,Iqaluit 
IRT,104.45,52.17,1996,2009,Irkoutsk 
ISK,29.06,41.07,1997,1997,Kandilli 
IVA,27.29,68.56,2001,2003,Ivalo 
JAX,278.40,30.35,2000,2003,Jacksonville 
KAG,130.72,31.48,1997,2007,Kagoshima 
KAK,140.18,36.23,1980,2008,Kakioka 
KAT,117.62,-33.68,1997,2004,Katanning 
KAV,216.63,70.07,1999,2009,Kaktovik 
KDU,132.47,-12.69,1995,2009,Kakadu 
KEV,27.01,69.76,1996,2003,Kevo 
KIL,20.79,69.02,1996,2003,Kilpisjarvi 
KIR,20.42,67.84,1995,2009,Kiruna 
KNY,130.88,31.42,1985,2008,Kanoya 
KNZ,48.85,55.83,2005,2008,Zaymishche 
KOU,307.27,2.21,1996,2009,Kourou 
KTB,100.32,-0.20,2004,2008,Kototabang 
KTN,137.71,75.94,1996,2007,Kotelnyy 
KUV,302.82,74.57,1997,2004,Kullorsuaq 
