AC_AT_DEF/RTN_ATT/1997-08-26/-1e31/%9.5f/PT1H/1 hour/Time, beginning of interval
AC_AT_DEF/GCI_ATT/1997-08-26/-1e31/%9.5f/PT1H/1 hour/Time, beginning of interval
AC_AT_DEF/GSE_ATT/1997-08-26/-1e31/%9.5f/PT1H/1 hour/Time, beginning of interval
AC_H0_MFI/Magnitude/1997-09-02/-1e31/%8.3f/PT16S/16 second/Time, beginning of interval
AC_H0_MFI/BGSEc/1997-09-02/-1e31/%9.3f/PT16S/16 second/Time, beginning of interval
AC_H0_MFI/BGSM/1997-09-02/-1e31/%9.3e/PT16S/16 second/Time, beginning of interval
AC_H0_MFI/dBrms/1997-09-02/-1e31/%8.3f/PT16S/16 second/Time, beginning of interval
AC_H0_MFI/SC_pos_GSE/1997-09-02/-1e31/%9.1f/PT16S/16 second/Time, beginning of interval
AC_H0_MFI/SC_pos_GSM/1997-09-02/-1e31/%9.1f/PT16S/16 second/Time, beginning of interval
AC_H0_SWE/Np/1998-02-04/-1e31/%8.4f/PT64S/64 second/Time, beginning of interval
AC_H0_SWE/Vp/1998-02-04/-1e31/%8.2f/PT64S/64 second/Time, beginning of interval
AC_H0_SWE/Tpr/1998-02-04/-1e31/%9.1f/PT64S/64 second/Time, beginning of interval
AC_H0_SWE/alpha_ratio/1998-02-04/-1e31/%8.4f/PT64S/64 second/Time, beginning of interval
AC_H0_SWE/V_GSE/1998-02-04/-1e31/%8.1f/PT64S/64 second/Time, beginning of interval
AC_H0_SWE/V_RTN/1998-02-04/-1e31/%8.1f/PT64S/64 second/Time, beginning of interval
AC_H0_SWE/V_GSM/1998-02-04/-1e31/%8.1f/PT64S/64 second/Time, beginning of interval
AC_H0_SWE/SC_pos_GSE/1998-02-04/-1e31/%9.1f/PT64S/64 second/Time, beginning of interval
AC_H0_SWE/SC_pos_GSM/1998-02-04/-1e31/%9.1f/PT64S/64 second/Time, beginning of interval
AC_H1_EPM/P1/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/P2/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/P3/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/P4/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/P5/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/P6/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/P7/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/P8/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_P1/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_P2/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_P3/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_P4/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_P5/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_P6/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_P7/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_P8/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/DE1/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/DE2/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/DE3/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/DE4/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
